Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2007-12-28,42.81,43.05,42.53,42.93,4098400.0,0.0,1.0,42.81,43.05,42.53,42.93,4098400.0
2007-12-31,42.58,43.14,42.5,42.73,3416700.0,0.0,1.0,42.58,43.14,42.5,42.73,3416700.0
2008-01-02,42.9,43.25,41.45,41.71,6047700.0,0.0,1.0,42.9,43.25,41.45,41.71,6047700.0
2008-01-03,41.55,42.21,41.5,41.79,5186700.0,0.0,1.0,41.55,42.21,41.5,41.79,5186700.0
2008-01-04,41.3,41.49,40.01,40.36,8938700.0,0.0,1.0,41.3,41.49,40.01,40.36,8938700.0
2008-01-07,40.39,40.75,39.68,40.24,7757600.0,0.0,1.0,40.39,40.75,39.68,40.24,7757600.0
2008-01-08,39.9,40.19,39.19,39.22,8896200.0,0.0,1.0,39.9,40.19,39.19,39.22,8896200.0
2008-01-09,39.41,39.62,38.92,39.46,9059100.0,0.0,1.0,39.41,39.62,38.92,39.46,9059100.0
2008-01-10,39.34,39.5,38.69,39.25,8393300.0,0.0,1.0,39.34,39.5,38.69,39.25,8393300.0
2008-01-11,38.84,39.19,37.92,38.05,10801200.0,0.0,1.0,38.84,39.19,37.92,38.05,10801200.0
2008-01-14,38.48,38.64,38.03,38.48,7212600.0,0.0,1.0,38.48,38.64,38.03,38.48,7212600.0
2008-01-15,38.08,38.42,37.74,37.92,7776000.0,0.0,1.0,38.08,38.42,37.74,37.92,7776000.0
2008-01-16,37.75,38.37,37.46,37.7,8595200.0,0.0,1.0,37.75,38.37,37.46,37.7,8595200.0
2008-01-17,37.19,37.52,34.9,35.55,16896300.0,0.0,1.0,37.19,37.52,34.9,35.55,16896300.0
2008-01-18,35.04,36.01,34.8,35.33,13735800.0,0.0,1.0,35.04,36.01,34.8,35.33,13735800.0
2008-01-22,33.01,34.49,32.99,34.0,10188900.0,0.0,1.0,33.01,34.49,32.99,34.0,10188900.0
2008-01-23,33.21,34.48,32.61,34.33,10292400.0,0.0,1.0,33.21,34.48,32.61,34.33,10292400.0
2008-01-24,33.56,34.7,33.56,34.64,7290400.0,0.0,1.0,33.56,34.7,33.56,34.64,7290400.0
2008-01-25,34.98,35.62,34.72,34.84,9220200.0,0.0,1.0,34.98,35.62,34.72,34.84,9220200.0
2008-01-28,35.22,35.32,34.8,35.15,5746400.0,0.0,1.0,35.22,35.32,34.8,35.15,5746400.0
2008-01-29,35.4,35.85,34.77,35.54,5445400.0,0.0,1.0,35.4,35.85,34.77,35.54,5445400.0
2008-01-30,35.54,36.45,35.21,35.94,8767300.0,0.0,1.0,35.54,36.45,35.21,35.94,8767300.0
2008-01-31,33.87,35.13,33.435,34.93,16394600.0,0.0,1.0,33.87,35.13,33.435,34.93,16394600.0
2008-02-01,34.67,34.99,33.44,34.48,12343100.0,0.0,1.0,34.67,34.99,33.44,34.48,12343100.0
2008-02-04,34.55,35.46,34.51,35.21,7861500.0,0.0,1.0,34.55,35.46,34.51,35.21,7861500.0
2008-02-05,33.99,34.76,33.79,33.96,7366800.0,0.0,1.0,33.99,34.76,33.79,33.96,7366800.0
2008-02-06,34.48,34.69,32.41,32.76,13228200.0,0.0,1.0,34.48,34.69,32.41,32.76,13228200.0
2008-02-07,32.41,33.07,32.08,32.62,13594100.0,0.0,1.0,32.41,33.07,32.08,32.62,13594100.0
2008-02-08,32.65,33.28,32.18,33.19,9771200.0,0.0,1.0,32.65,33.28,32.18,33.19,9771200.0
2008-02-11,33.28,34.14,33.15,33.84,9909400.0,0.0,1.0,33.28,34.14,33.15,33.84,9909400.0
2008-02-12,33.95,35.02,33.91,34.38,9894800.0,0.0,1.0,33.95,35.02,33.91,34.38,9894800.0
2008-02-13,34.69,35.36,34.42,35.0,9843400.0,0.0,1.0,34.69,35.36,34.42,35.0,9843400.0
2008-02-14,35.2,35.21,34.67,34.96,6616600.0,0.0,1.0,35.2,35.21,34.67,34.96,6616600.0
2008-02-15,34.93,34.95,34.21,34.67,5665200.0,0.0,1.0,34.93,34.95,34.21,34.67,5665200.0
2008-02-19,35.41,35.53,34.8,34.9,6413100.0,0.0,1.0,35.41,35.53,34.8,34.9,6413100.0
2008-02-20,34.35,35.28,34.25,35.05,6438600.0,0.0,1.0,34.35,35.28,34.25,35.05,6438600.0
2008-02-21,35.14,35.53,34.67,34.78,6057000.0,0.0,1.0,35.14,35.53,34.67,34.78,6057000.0
2008-02-22,34.85,35.19,34.46,35.09,5974300.0,0.0,1.0,34.85,35.19,34.46,35.09,5974300.0
2008-02-25,35.08,35.85,35.01,35.54,8105100.0,0.0,1.0,35.08,35.85,35.01,35.54,8105100.0
2008-02-26,35.61,36.46,35.44,35.87,6541500.0,0.0,1.0,35.61,36.46,35.44,35.87,6541500.0
2008-02-27,35.482,35.83,35.02,35.46,6385200.0,0.0,1.0,35.482,35.83,35.02,35.46,6385200.0
2008-02-28,35.3,35.7,34.97,35.34,5330500.0,0.0,1.0,35.3,35.7,34.97,35.34,5330500.0
2008-02-29,34.79,34.92,33.48,33.65,12307400.0,0.0,1.0,34.79,34.92,33.48,33.65,12307400.0
2008-03-03,33.49,33.68,32.53,32.86,12553200.0,0.0,1.0,33.49,33.68,32.53,32.86,12553200.0
2008-03-04,32.84,33.12,32.43,33.07,8178800.0,0.0,1.0,32.84,33.12,32.43,33.07,8178800.0
2008-03-05,33.0,33.08,32.01,32.42,10868700.0,0.0,1.0,33.0,33.08,32.01,32.42,10868700.0
2008-03-06,32.4,33.11,32.21,32.47,7411400.0,0.0,1.0,32.4,33.11,32.21,32.47,7411400.0
2008-03-07,32.59,33.28,32.04,32.55,7287400.0,0.0,1.0,32.59,33.28,32.04,32.55,7287400.0
2008-03-10,32.6,32.99,31.92,31.94,8201400.0,0.0,1.0,32.6,32.99,31.92,31.94,8201400.0
2008-03-11,32.25,32.61,31.79,32.6,9612200.0,0.0,1.0,32.25,32.61,31.79,32.6,9612200.0
2008-03-12,33.17,34.23,32.89,33.34,8843200.0,0.0,1.0,33.17,34.23,32.89,33.34,8843200.0
2008-03-13,32.984,33.59,32.52,33.3,5875900.0,0.0,1.0,32.984,33.59,32.52,33.3,5875900.0
2008-03-14,32.81,33.71,32.24,32.61,7040400.0,0.0,1.0,32.81,33.71,32.24,32.61,7040400.0
2008-03-17,32.0,32.49,30.7,30.79,15095600.0,0.0,1.0,32.0,32.49,30.7,30.79,15095600.0
2008-03-18,31.53,31.9,31.1,31.88,12183700.0,0.0,1.0,31.53,31.9,31.1,31.88,12183700.0
2008-03-19,33.78,36.13,33.76,34.75,25122000.0,0.0,1.0,33.78,36.13,33.76,34.75,25122000.0
2008-03-20,34.82,35.5,34.25,34.45,12402200.0,0.0,1.0,34.82,35.5,34.25,34.45,12402200.0
2008-03-24,34.644,36.49,34.51,36.1,10783000.0,0.0,1.0,34.644,36.49,34.51,36.1,10783000.0
2008-03-25,36.58,36.65,35.81,36.54,8940000.0,0.0,1.0,36.58,36.65,35.81,36.54,8940000.0
2008-03-26,36.51,37.34,35.96,37.2,11395700.0,0.0,1.0,36.51,37.34,35.96,37.2,11395700.0
2008-03-27,37.12,37.12,35.6783,35.68,7345900.0,0.0,1.0,37.12,37.12,35.6783,35.68,7345900.0
2008-03-28,36.12,36.63,35.2,35.33,7229300.0,0.0,1.0,36.12,36.63,35.2,35.33,7229300.0
2008-03-31,35.69,35.9,35.3,35.59,8015500.0,0.0,1.0,35.69,35.9,35.3,35.59,8015500.0
2008-04-01,36.56,37.32,36.37,37.25,9317900.0,0.0,1.0,36.56,37.32,36.37,37.25,9317900.0
2008-04-02,37.38,37.52,36.2,36.5,8682900.0,0.0,1.0,37.38,37.52,36.2,36.5,8682900.0
2008-04-03,36.49,37.11,36.32,37.01,7608500.0,0.0,1.0,36.49,37.11,36.32,37.01,7608500.0
2008-04-04,37.0,37.35,36.63,36.97,5143300.0,0.0,1.0,37.0,37.35,36.63,36.97,5143300.0
2008-04-07,36.83,37.45,36.8,36.92,5811400.0,0.0,1.0,36.83,37.45,36.8,36.92,5811400.0
2008-04-08,36.64,37.19,36.51,36.83,4615900.0,0.0,1.0,36.64,37.19,36.51,36.83,4615900.0
2008-04-09,36.9,36.94,35.99,36.32,4304300.0,0.0,1.0,36.9,36.94,35.99,36.32,4304300.0
2008-04-10,36.08,37.19,36.0,37.09,8412500.0,0.0,1.0,36.08,37.19,36.0,37.09,8412500.0
2008-04-11,37.0,37.0,35.88,35.98,7464200.0,0.0,1.0,37.0,37.0,35.88,35.98,7464200.0
2008-04-14,35.95,36.62,35.73,36.29,5551400.0,0.0,1.0,35.95,36.62,35.73,36.29,5551400.0
2008-04-15,36.29,36.54,35.36,35.75,8108000.0,0.0,1.0,36.29,36.54,35.36,35.75,8108000.0
2008-04-16,36.1,36.54,35.46,36.42,10961500.0,0.0,1.0,36.1,36.54,35.46,36.42,10961500.0
2008-04-17,36.47,36.93,35.66,36.07,5755800.0,0.0,1.0,36.47,36.93,35.66,36.07,5755800.0
2008-04-18,36.87,36.986,36.08,36.27,8839300.0,0.0,1.0,36.87,36.986,36.08,36.27,8839300.0
2008-04-21,36.2,36.73,35.85,36.66,5040300.0,0.0,1.0,36.2,36.73,35.85,36.66,5040300.0
2008-04-22,36.32,36.74,35.61,36.17,8197500.0,0.0,1.0,36.32,36.74,35.61,36.17,8197500.0
2008-04-23,36.29,36.91,36.21,36.83,6037300.0,0.0,1.0,36.29,36.91,36.21,36.83,6037300.0
2008-04-24,36.71,37.79,36.41,37.43,5846700.0,0.0,1.0,36.71,37.79,36.41,37.43,5846700.0
2008-04-25,37.41,37.58,36.32,36.89,4628300.0,0.0,1.0,37.41,37.58,36.32,36.89,4628300.0
2008-04-28,37.02,37.51,36.65,37.18,5017000.0,0.0,1.0,37.02,37.51,36.65,37.18,5017000.0
2008-04-29,37.0,37.94,36.93,37.76,5444500.0,0.0,1.0,37.0,37.94,36.93,37.76,5444500.0
2008-04-30,37.79,38.1,37.28,37.29,4877400.0,0.0,1.0,37.79,38.1,37.28,37.29,4877400.0
2008-05-01,38.34,39.22,37.9,39.01,7222100.0,0.0,1.0,38.34,39.22,37.9,39.01,7222100.0
2008-05-02,39.23,40.41,39.12,40.38,8929400.0,0.0,1.0,39.23,40.41,39.12,40.38,8929400.0
2008-05-05,40.39,40.47,39.79,40.15,5761600.0,0.0,1.0,40.39,40.47,39.79,40.15,5761600.0
2008-05-06,40.06,40.45,39.53,40.25,4972300.0,0.0,1.0,40.06,40.45,39.53,40.25,4972300.0
2008-05-07,40.09,40.58,39.11,39.24,5310700.0,0.0,1.0,40.09,40.58,39.11,39.24,5310700.0
2008-05-08,39.6,40.15,39.11,40.0,5376200.0,0.0,1.0,39.6,40.15,39.11,40.0,5376200.0
2008-05-09,39.46,40.17,39.25,39.89,2800700.0,0.0,1.0,39.46,40.17,39.25,39.89,2800700.0
2008-05-12,39.83,40.5,39.35,40.44,4276600.0,0.0,1.0,39.83,40.5,39.35,40.44,4276600.0
2008-05-13,40.44,40.75,39.8,40.59,4722500.0,0.0,1.0,40.44,40.75,39.8,40.59,4722500.0
2008-05-14,40.74,41.51,40.59,40.94,4916100.0,0.0,1.0,40.74,41.51,40.59,40.94,4916100.0
2008-05-15,40.82,42.08,40.6,42.0,6364400.0,0.0,1.0,40.82,42.08,40.6,42.0,6364400.0
2008-05-16,42.17,42.45,41.71,42.26,5987200.0,0.0,1.0,42.17,42.45,41.71,42.26,5987200.0
2008-05-19,42.11,43.23,42.04,42.6,7216300.0,0.0,1.0,42.11,43.23,42.04,42.6,7216300.0
2008-05-20,41.38,42.02,41.02,41.66,6839200.0,0.0,1.0,41.38,42.02,41.02,41.66,6839200.0
2008-05-21,41.5,41.96,40.8,40.95,5445500.0,0.0,1.0,41.5,41.96,40.8,40.95,5445500.0
2008-05-22,40.88,41.66,40.82,41.4,3409400.0,0.0,1.0,40.88,41.66,40.82,41.4,3409400.0
2008-05-23,41.3,41.53,40.88,41.25,3645400.0,0.0,1.0,41.3,41.53,40.88,41.25,3645400.0
2008-05-27,41.16,42.1,41.05,41.99,4002200.0,0.0,1.0,41.16,42.1,41.05,41.99,4002200.0
2008-05-28,42.91,43.0,42.3,42.84,5750000.0,0.0,1.0,42.91,43.0,42.3,42.84,5750000.0
2008-05-29,42.75,44.08,42.75,43.8,6736600.0,0.0,1.0,42.75,44.08,42.75,43.8,6736600.0
2008-05-30,44.08,44.38,43.68,44.06,5842500.0,0.0,1.0,44.08,44.38,43.68,44.06,5842500.0
2008-06-02,43.97,44.24,42.76,43.46,5083100.0,0.0,1.0,43.97,44.24,42.76,43.46,5083100.0
2008-06-03,43.75,44.21,43.0,43.53,5405100.0,0.0,1.0,43.75,44.21,43.0,43.53,5405100.0
2008-06-04,43.6,44.66,43.31,44.25,4684700.0,0.0,1.0,43.6,44.66,43.31,44.25,4684700.0
2008-06-05,43.45,44.01,42.8,43.89,7158700.0,0.0,1.0,43.45,44.01,42.8,43.89,7158700.0
2008-06-06,43.45,43.6,42.3,42.3,5927900.0,0.0,1.0,43.45,43.6,42.3,42.3,5927900.0
2008-06-09,42.58,42.7499,41.66,42.47,4553700.0,0.0,1.0,42.58,42.7499,41.66,42.47,4553700.0
2008-06-10,42.17,42.36,41.47,41.74,5694400.0,0.0,1.0,42.17,42.36,41.47,41.74,5694400.0
2008-06-11,41.55,41.94,40.65,40.77,6523200.0,0.0,1.0,41.55,41.94,40.65,40.77,6523200.0
2008-06-12,40.95,41.59,40.6,40.99,5353400.0,0.0,1.0,40.95,41.59,40.6,40.99,5353400.0
2008-06-13,41.92,43.15,41.73,42.71,6345900.0,0.0,1.0,41.92,43.15,41.73,42.71,6345900.0
2008-06-16,42.32,43.11,42.08,42.85,6887300.0,0.0,1.0,42.32,43.11,42.08,42.85,6887300.0
