Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2008-01-07,6.3,6.41,6.02,6.08,32111500.0,0.0,1.0,6.3,6.41,6.02,6.08,32111500.0
2008-01-08,6.18,6.38,5.97,6.0,37271600.0,0.0,1.0,6.18,6.38,5.97,6.0,37271600.0
2008-01-09,5.97,6.06,5.31,5.53,50976000.0,0.0,1.0,5.97,6.06,5.31,5.53,50976000.0
2008-01-10,5.51,6.0,5.42,5.96,55612700.0,0.0,1.0,5.51,6.0,5.42,5.96,55612700.0
2008-01-11,6.05,6.44,6.02,6.25,41432000.0,0.0,1.0,6.05,6.44,6.02,6.25,41432000.0
2008-01-14,6.48,6.54,6.25,6.41,30007200.0,0.0,1.0,6.48,6.54,6.25,6.41,30007200.0
2008-01-15,6.34,6.35,6.01,6.12,30309700.0,0.0,1.0,6.34,6.35,6.01,6.12,30309700.0
2008-01-16,5.85,6.91,5.8,6.57,52425800.0,0.0,1.0,5.85,6.91,5.8,6.57,52425800.0
2008-01-17,6.71,6.92,6.22,6.34,40337800.0,0.0,1.0,6.71,6.92,6.22,6.34,40337800.0
2008-01-18,6.82,7.15,6.8,7.07,60464000.0,0.0,1.0,6.82,7.15,6.8,7.07,60464000.0
2008-01-22,6.57,7.09,6.57,6.8301,28519600.0,0.0,1.0,6.57,7.09,6.57,6.8301,28519600.0
2008-01-23,6.65,7.59,6.6,7.56,45996900.0,0.0,1.0,6.65,7.59,6.6,7.56,45996900.0
2008-01-24,7.72,7.79,7.43,7.58,33625400.0,0.0,1.0,7.72,7.79,7.43,7.58,33625400.0
2008-01-25,7.66,7.78,7.07,7.15,30011500.0,0.0,1.0,7.66,7.78,7.07,7.15,30011500.0
2008-01-28,7.08,7.49,6.98,7.46,20428500.0,0.0,1.0,7.08,7.49,6.98,7.46,20428500.0
2008-01-29,7.5,7.65,7.25,7.61,20649100.0,0.0,1.0,7.5,7.65,7.25,7.61,20649100.0
2008-01-30,7.6,7.75,7.45,7.6099,21502100.0,0.0,1.0,7.6,7.75,7.45,7.6099,21502100.0
2008-01-31,7.5,7.69,7.38,7.59,21174900.0,0.0,1.0,7.5,7.69,7.38,7.59,21174900.0
2008-02-01,7.75,8.03,7.6,8.0,26266400.0,0.0,1.0,7.75,8.03,7.6,8.0,26266400.0
2008-02-04,8.0,8.08,7.8,7.92,16687900.0,0.0,1.0,8.0,8.08,7.8,7.92,16687900.0
2008-02-05,7.77,7.86,7.21,7.21,28511300.0,0.0,1.0,7.77,7.86,7.21,7.21,28511300.0
2008-02-06,7.35,7.38,6.68,6.74,29748700.0,0.0,1.0,7.35,7.38,6.68,6.74,29748700.0
2008-02-07,6.61,6.76,6.43,6.59,36182400.0,0.0,1.0,6.61,6.76,6.43,6.59,36182400.0
2008-02-08,6.58,6.63,6.22,6.34,30758900.0,0.0,1.0,6.58,6.63,6.22,6.34,30758900.0
2008-02-11,6.36,6.42,6.23,6.28,23919500.0,0.0,1.0,6.36,6.42,6.23,6.28,23919500.0
2008-02-12,6.4,6.61,6.31,6.41,25263700.0,0.0,1.0,6.4,6.61,6.31,6.41,25263700.0
2008-02-13,6.51,6.72,6.47,6.7,21779100.0,0.0,1.0,6.51,6.72,6.47,6.7,21779100.0
2008-02-14,6.76,6.93,6.52,6.53,20940000.0,0.0,1.0,6.76,6.93,6.52,6.53,20940000.0
2008-02-15,6.52,6.61,6.36,6.45,14219400.0,0.0,1.0,6.52,6.61,6.36,6.45,14219400.0
2008-02-19,6.64,6.74,6.49,6.5,16220600.0,0.0,1.0,6.64,6.74,6.49,6.5,16220600.0
2008-02-20,6.51,6.96,6.5,6.83,22695700.0,0.0,1.0,6.51,6.96,6.5,6.83,22695700.0
2008-02-21,6.94,7.18,6.88,6.96,26370300.0,0.0,1.0,6.94,7.18,6.88,6.96,26370300.0
2008-02-22,7.0,7.03,6.45,6.71,26522200.0,0.0,1.0,7.0,7.03,6.45,6.71,26522200.0
2008-02-25,6.71,6.99,6.64,6.97,17599800.0,0.0,1.0,6.71,6.99,6.64,6.97,17599800.0
2008-02-26,6.95,7.19,6.86,7.13,21404800.0,0.0,1.0,6.95,7.19,6.86,7.13,21404800.0
2008-02-27,7.02,7.48,6.97,7.28,19430000.0,0.0,1.0,7.02,7.48,6.97,7.28,19430000.0
2008-02-28,7.17,7.25,6.91,7.02,17271300.0,0.0,1.0,7.17,7.25,6.91,7.02,17271300.0
2008-02-29,6.98,7.34,6.97,7.21,27384500.0,0.0,1.0,6.98,7.34,6.97,7.21,27384500.0
2008-03-03,6.8,7.21,6.63,6.76,33104000.0,0.0,1.0,6.8,7.21,6.63,6.76,33104000.0
2008-03-04,6.66,6.78,6.38,6.76,31551500.0,0.0,1.0,6.66,6.78,6.38,6.76,31551500.0
2008-03-05,6.86,7.04,6.75,6.84,22641800.0,0.0,1.0,6.86,7.04,6.75,6.84,22641800.0
2008-03-06,6.85,6.85,6.45,6.49,21429400.0,0.0,1.0,6.85,6.85,6.45,6.49,21429400.0
2008-03-07,6.44,6.75,6.31,6.49,28821800.0,0.0,1.0,6.44,6.75,6.31,6.49,28821800.0
2008-03-10,6.6,6.6,6.13,6.16,19869900.0,0.0,1.0,6.6,6.6,6.13,6.16,19869900.0
2008-03-11,6.28,6.49,6.13,6.48,25491000.0,0.0,1.0,6.28,6.49,6.13,6.48,25491000.0
2008-03-12,6.49,6.65,6.31,6.43,19031000.0,0.0,1.0,6.49,6.65,6.31,6.43,19031000.0
